iter	Passed	Remaining
0	2	267
1	5	248
2	7	247
3	9	229
4	11	227
5	14	223
6	16	220
7	19	220
8	21	219
9	24	219
10	27	218
11	29	218
12	32	218
13	35	217
14	37	214
15	40	213
16	43	211
17	46	209
18	48	206
19	50	203
20	53	200
21	55	197
22	58	194
23	60	191
24	62	188
25	64	184
26	67	181
27	69	177
28	71	174
29	73	170
30	75	167
31	77	164
32	79	160
33	81	158
34	83	154
35	85	152
36	87	149
37	89	146
38	91	143
39	93	140
40	95	137
41	96	133
42	98	130
43	100	128
44	102	125
45	104	122
46	106	120
47	108	117
48	110	115
49	112	112
50	114	110
51	116	107
52	118	105
53	121	103
54	122	100
55	124	97
56	126	95
57	128	92
58	130	90
59	132	88
60	134	85
61	136	83
62	138	81
63	140	79
64	142	76
65	144	74
66	146	72
67	149	70
68	151	67
69	153	65
70	155	63
71	157	61
72	159	58
73	161	56
74	163	54
75	165	52
76	167	49
77	168	47
78	170	45
79	172	43
80	173	40
81	175	38
82	176	36
83	178	33
84	179	31
85	181	29
86	183	27
87	184	25
88	186	23
89	187	20
90	189	18
91	190	16
92	191	14
93	192	12
94	194	10
95	195	8
96	196	6
97	197	4
98	198	2
99	200	0
